id,"word"
1,"datum"
2,"mining"
3,"visualization"
4,"assessment"
5,"familiarity"
6,"association"
7,"pattern"
8,"market"
9,"interactive"
10,"describe"
11,"process"
12,"identify"
13,"basket"
14,"characterize"
15,"rule"
16,"application"
17,"compare"
18,"GV"
19,"loop"
20,"outlier"
21,"cross-reference"
22,"sequential"
23,"CN"
24,"topic"
25,"algorithm"
26,"relational"
27,"extend"
28,"evidenced"
29,"elective"
30,"associative"
31,"value"
32,"finding"
33,"clustering"
34,"discovered"
35,"analysis"
36,"aggregation"
37,"effectiveness"
38,"learning"
39,"mechanism"
40,"source"
41,"system"
42,"research"
43,"evaluate"
44,"close"
45,"outcome"
46,"redundancy"
47,"anytime"
48,"explain"
49,"various"
50,"improve"
51,"close-the-loop"
52,"contrast"
53,"behavior"
54,"using"
55,"on-line"
56,"cleaning"
57,"effective"
58,"methodology"
59,"noise"
60,"network"
61,"security"
62,"secure"
63,"threat"
64,"attack"
65,"non-wired"
66,"architecture"
67,"protocol"
68,"NC"
69,"Core-Tier2"
70,"defense"
71,"limitation"
72,"communication"
73,"key"
74,"traffic"
75,"spoofing"
76,"cellular"
77,"channel"
78,"mobility"
79,"cryptography"
80,"public"
81,"routing"
82,"censorship"
83,"hour"
84,"sensor"
85,"appropriate"
86,"honeypot"
87,"faced"
88,"category"
89,"integrity"
90,"property"
91,"discuss"
92,"isolation"
93,"man-in-the-middle"
94,"infrastructure"
95,"private"
96,"fundamental"
97,"layer"
98,"monitoring"
99,"technology"
100,"VPN"
101,"protection"
102,"detection"
103,"specific"
104,"previous"
105,"PKI"
106,"DoS"
107,"organization"
108,"vehicular"
109,"relie"
110,"access"
111,"wireless"
112,"resistance"
113,"configure"
114,"TCP"
115,"cross"
116,"traceback"
117,"countermeasure"
118,"redirection"
119,"concept"
120,"denial"
121,"diagram"
122,"stack"
123,"anonymous"
124,"service"
125,"DNS"
126,"additional"
127,"firewall"
128,"IP"
129,"type"
130,"management"
131,"support"
132,"virtue"
133,"operational"
134,"understanding"
135,"reference"
136,"ad"
137,"control"
138,"including"
139,"discussion"
140,"hoc"
141,"protected"
142,"intrusion"
143,"principle"
144,"summarize"
145,"message"
146,"networking"
147,"sniffing"
148,"performance"
149,"law"
150,"tool"
151,"figure"
152,"amdahl"
153,"instruction"
154,"design"
155,"merit"
156,"profile"
157,"experiment"
158,"parallel"
159,"program"
160,"performance-oriented"
161,"PD"
162,"Core-Tier1"
163,"computation"
164,"pipeline"
165,"evaluation"
166,"processor"
167,"CPI"
168,"collecting"
169,"memory"
170,"analyzing"
171,"cycle"
172,"workload"
173,"tradeoff"
174,"equation"
175,"contribute"
176,"limit"
177,"representative"
178,"method"
179,"set"
180,"usage"
181,"conduct"
182,"sped"
183,"effect"
184,"improving"
185,"software"
186,"component"
187,"measure"
188,"benchmark"
189,"interface"
190,"user"
191,"graphical"
192,"documentation"
193,"standard"
194,"help"
195,"task"
196,"quantitative"
197,"minimal"
198,"layout"
199,"keystroke-level"
200,"analytic"
201,"low-fidelity"
202,"qualitative"
203,"element"
204,"simple"
205,"result"
206,"well-established"
207,"generating"
208,"technique"
209,"color"
210,"prototyping"
211,"student"
212,"paper"
213,"labeling"
214,"create"
215,"construction"
216,"human"
217,"model"
218,"document"
219,"font"
220,"national"
221,"failure"
222,"designing"
223,"visual"
224,"report"
225,"undertake"
226,"interaction"
227,"bring"
228,"motivation"
229,"identified"
230,"GUI"
231,"aspect"
232,"CS"
233,"international"
234,"handling"
235,"syntax"
236,"scanner"
237,"parser"
238,"declarative"
239,"parsing"
240,"grammar"
241,"ambiguity"
242,"issue"
243,"expression"
244,"LL"
245,"top-down"
246,"role"
247,"earley"
248,"scanning"
249,"LR"
250,"strategy"
251,"definition"
252,"specification"
253,"associativity"
254,"formal"
255,"bottom-up"
256,"generate"
257,"backtracking"
258,"context-free"
259,"regular"
260,"specify"
261,"lexical"
262,"language"
263,"descent"
264,"precedence"
265,"recursive"
266,"ethernet"
267,"multiple"
268,"local"
269,"common"
270,"approach"
271,"division"
272,"time"
273,"frame"
274,"interrelation"
275,"etc"
276,"step"
